"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1332839,"INJURY","2003-08-13",1515,2,1,0,"IN","REGINA","RE697562","DEWDNEY AVE","RING RD NW RAMP",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","DEWDNEY AVE and RING RD NW RAMP, REGINA, Saskatchewan",NA,NA
1335005,"INJURY","2003-08-18",1731,2,1,0,"IN","REGINA","RE695680","COLLEGE AVE","OSLER ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","COLLEGE AVE and OSLER ST, REGINA, Saskatchewan",50.4406856,-104.6048864
1346706,"INJURY","2003-08-19",2030,2,1,0,"IN","REGINA","RE705150","MCCARTHY BLVD N","RINK AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","MCCARTHY BLVD N and RINK AVE, REGINA, Saskatchewan",50.4881314,-104.6638724
1346568,"INJURY","2003-08-20",1640,2,1,0,"IN","REGINA","RE678440","15TH AVE","SCARTH ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","15TH AVE and SCARTH ST, REGINA, Saskatchewan",NA,NA
1346707,"INJURY","2003-08-20",1300,2,1,0,"IN","REGINA","RE455000","WILLOUGHBY CR","1-125",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","63 WILLOUGHBY CR, REGINA, Saskatchewan",NA,NA
1448468,"INJURY","2003-08-22",731,2,1,0,"IN","REGINA","RE708860","ARCOLA AVE / SASKATCHEWAN DR","WINNIPEG ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ARCOLA AVE / SASKATCHEWAN DR and WINNIPEG ST, REGINA, Saskatchewan",NA,NA
1346597,"INJURY","2003-08-27",730,2,1,0,"IN","REGINA","RE411300","13TH AVE","1700-1799",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1749 13TH AVE, REGINA, Saskatchewan",50.4455021,-104.6061114
1345816,"INJURY","2003-08-29",1455,2,1,0,"IN","REGINA","RE6700","ALBERT ST","651-675",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","663 ALBERT ST, REGINA, Saskatchewan",NA,NA
1449636,"INJURY","2003-08-30",1540,2,1,0,"IN","REGINA","RE682930","4TH AVE","ELPHINSTONE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","4TH AVE and ELPHINSTONE ST, REGINA, Saskatchewan",NA,NA
1349441,"INJURY","2003-09-02",1835,2,1,0,"IN","REGINA","RE684430","5TH AVE","RETALLACK ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","5TH AVE and RETALLACK ST, REGINA, Saskatchewan",50.461391,-104.6224951
1342892,"INJURY","2003-09-03",2010,2,1,0,"IN","REGINA","RE689010","ALBERT ST","SASKATCHEWAN DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and SASKATCHEWAN DR, REGINA, Saskatchewan",NA,NA
1255652,"INJURY","2003-09-05",1930,2,1,0,"IN","REGINA","RE689110","ALBERT ST","DEWDNEY AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and DEWDNEY AVE, REGINA, Saskatchewan",50.4550924,-104.6182008
1345818,"INJURY","2003-09-05",1530,2,1,0,"IN","REGINA","RE686030","7TH AVE","ANGUS ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","7TH AVE and ANGUS ST, REGINA, Saskatchewan",50.458281,-104.6196182
